scenario_mode,scenario_label,algorithm,guidance_mode,rank,node,queue_seconds_person_s,congestion_seconds_person_s,peak_people,peak_density_p_per_m2,peak_load_ratio,peak_congestion_index,congestion_measure_type
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,1,VN_2to7_Exit,8045.5,3075.5,147,4.468085106382979,0.0,4.468085106382979,density
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,2,VN_L18_Exit17_Entrance,2655.0,0.0,56,0.8615384615384616,0.0,0.8615384615384616,density
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,3,Transfer_L2-L7_Passageway,2643.0,0.0,217,0.9393939393939394,0.0,0.9393939393939394,density
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,4,Gate_L7_West_Vert,2483.0,0.0,51,0.0,0.612,0.612,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,5,Transfer_L7-L2_Z,2201.0,0.0,105,0.1146288209606987,0.0,0.1146288209606987,density
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,6,Escalator_L2_down1,2118.5,741.0,39,0.0,1.1428571428571428,1.1428571428571428,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,7,Stair_L7_2,1975.5,0.0,46,0.0,0.7935595169637722,0.7935595169637722,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,8,Gate_L2_S_West,1773.0,0.0,129,0.0,0.8845714285714287,0.8845714285714287,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,9,Gate_L2_N_West,1658.0,0.0,74,0.0,0.888,0.888,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,10,VN_L18_Exit12_Entrance,1510.5,0.0,31,0.7045454545454546,0.0,0.7045454545454546,density
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,11,Gate_L2_S_East,1255.0,0.0,92,0.0,0.8832,0.8832,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,12,Gate_L2_N_East,948.5,0.0,55,0.0,0.8799999999999999,0.8799999999999999,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,13,Stair_L18_2,920.5,0.0,35,0.0,0.43478260869565216,0.43478260869565216,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,14,Stair_L7_3,695.5,0.0,32,0.0,0.4184829991281604,0.4184829991281604,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,15,Transfer_L2_L18_F1_Esc1,571.0,0.0,39,0.0,0.6761442441054092,0.6761442441054092,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,16,Transfer_L2_L18_F1_Esc2,571.0,0.0,39,0.0,0.6761442441054092,0.6761442441054092,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,17,Transfer_L2_L18_F1_Esc3,571.0,0.0,39,0.0,0.6761442441054092,0.6761442441054092,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,18,Transfer_L2_L18_F1_Stair,430.0,0.0,40,0.0,0.6722689075630253,0.6722689075630253,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,19,Transfer_Mid_L18_F2_Right_Stair,428.0,0.0,6,0.0,0.10084033613445378,0.10084033613445378,capacity_ratio
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,20,Transfer_L2_L16_Esc1,406.5,0.0,38,0.0,0.6785714285714286,0.6785714285714286,capacity_ratio
